2023-11-16 09:13:53; WARNING; Aura Pluing; 9976; 11588] [AuraSyncDeviceClass][GetMatrixLEDDevice] UnLock
2023-11-16 09:13:53; WARNING; Aura Pluing; 9976; 11560] [AuraSyncDeviceClass][GetMatrixLEDDevice] Enter Lock
2023-11-16 09:13:53; WARNING; Aura Pluing; 9976; 11560] [ROGAuraInterface][GetDeviceListFromLightingService] from GetMatrixLEDDevice Start
2023-11-16 09:13:53; WARNING; Aura Pluing; 9976; 11560] [ROGAuraInterface][GetDeviceListFromLightingService] GetDeviceListFromLightingService FunctionKey LOCK from GetMatrixLEDDevice
2023-11-16 09:13:53; WARNING; Aura Pluing; 9976; 11560] [ROGAuraInterface][GetDeviceListFromLightingService] Enter LOCK from GetMatrixLEDDevice
2023-11-16 09:13:53; WARNING; Aura Pluing; 9976; 11560] [ROGAuraInterface][GetDeviceListFromLightingService] Already get device or suspend, skip and unlock from GetMatrixLEDDevice
2023-11-16 09:13:53; INFO; Aura Pluing; 9976; 11560] [ROGAuraInterface][UpdateDeviceOtherSettings] In
2023-11-16 09:13:53; INFO; Aura Pluing; 9976; 11560] [ROGAuraInterface][UpdateDeviceOtherSettings] End
2023-11-16 09:13:53; INFO; Aura Pluing; 9976; 11588] [AuraSyncDeviceLog][GetMatrixLEDDevice] Set Matrix Attributes done
2023-11-16 09:13:53; WARNING; Aura Pluing; 9976; 11588] [AuraSyncDeviceClass][GetMatrixLEDDevice] End
2023-11-16 09:13:53; WARNING; Aura Pluing; 9976; 11588] [ROGAuraInterface][GetDeviceListFromLightingService] from LSServiceNotifyCallback Start
2023-11-16 09:13:53; WARNING; Aura Pluing; 9976; 11588] [ROGAuraInterface][GetDeviceListFromLightingService] GetDeviceListFromLightingService FunctionKey LOCK from LSServiceNotifyCallback
2023-11-16 09:13:53; WARNING; Aura Pluing; 9976; 11588] [ROGAuraInterface][GetDeviceListFromLightingService] Enter LOCK from LSServiceNotifyCallback
2023-11-16 09:13:53; WARNING; Aura Pluing; 9976; 11560] [ROGAuraInterface][GetDeviceListFromLightingService] Enter LOCK from LSServiceNotifyCallback
